epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,547.217,0.90561,2.22015,0.80901,1.11628,0,0.80923,0.76417,0.81562,0.59762,0.66056,0.57867,0.57016,0.29369,1.06506,3.2276,0.99546,1.41631,0,0.00122141,0.00122141,0.00122141
29,567.159,0.92644,2.12493,0.82808,1.12429,0,0.78763,0.70064,0.72936,0.51593,0.66589,0.58742,0.56822,0.23629,1.13287,3.27629,1.14281,1.44612,0,0.00120491,0.00120491,0.00120491
30,586.897,0.9253,2.16054,0.811,1.13225,0,0.75651,0.77126,0.75841,0.56224,0.62356,0.61741,0.58257,0.26451,1.08103,3.46396,1.1384,1.41804,0,0.0011884,0.0011884,0.0011884
31,606.702,0.90928,2.17979,0.80908,1.11835,0,0.8071,0.82895,0.8605,0.65571,0.65615,0.62324,0.55203,0.26731,1.00249,3.55727,1.0222,1.29104,0,0.0011719,0.0011719,0.0011719
32,626.658,0.84347,2.07747,0.7267,1.08138,0,0.8701,0.79365,0.85284,0.63575,0.72227,0.62876,0.63729,0.30567,1.05576,3.45371,0.92469,1.3722,0,0.0011554,0.0011554,0.0011554
33,646.529,0.8988,2.17283,0.79605,1.10674,0,0.84376,0.77709,0.84397,0.60449,0.70489,0.62608,0.60544,0.26531,1.09515,3.63069,0.93128,1.40482,0,0.00113889,0.00113889,0.00113889
34,666.258,0.89955,2.10854,0.74629,1.10091,0,0.8859,0.77126,0.84518,0.63744,0.73383,0.60425,0.59277,0.31742,1.05823,3.26127,0.92696,1.31675,0,0.00112239,0.00112239,0.00112239
35,686.025,0.8383,2.02575,0.70733,1.07437,0,0.90829,0.73433,0.84621,0.62583,0.76807,0.59761,0.65121,0.32563,1.05809,2.88357,0.89941,1.35688,0,0.00110589,0.00110589,0.00110589
36,705.858,0.80974,2.07054,0.6897,1.05856,0,0.86721,0.80512,0.85657,0.63866,0.73228,0.65162,0.65971,0.30036,1.00873,3.07042,0.8862,1.33652,0,0.00108938,0.00108938,0.00108938
37,725.411,0.83407,1.9819,0.71787,1.08926,0,0.85277,0.76634,0.84679,0.61723,0.71857,0.59643,0.65361,0.28609,1.05418,3.39082,0.91036,1.39283,0,0.00107288,0.00107288,0.00107288
38,745.009,0.81484,2.00204,0.69316,1.07101,0,0.89872,0.74494,0.84348,0.64261,0.76563,0.55769,0.63676,0.3211,0.99448,3.70387,0.87088,1.30114,0,0.00105638,0.00105638,0.00105638
39,764.718,0.84503,2.13527,0.73112,1.09027,0,0.93003,0.80263,0.88446,0.65444,0.80482,0.59008,0.63826,0.35757,0.92769,3.36236,0.84904,1.2865,0,0.00103987,0.00103987,0.00103987
40,784.477,0.8279,2.11731,0.703,1.08258,0,0.86113,0.78925,0.85481,0.6426,0.61529,0.66251,0.57435,0.29352,0.9382,3.2248,1.08575,1.2828,0,0.00102337,0.00102337,0.00102337
41,804.786,0.81633,1.9814,0.68054,1.05502,0,0.92405,0.75101,0.84103,0.6497,0.70386,0.65587,0.61367,0.2927,0.95567,3.41044,1.04849,1.26033,0,0.00100687,0.00100687,0.00100687
42,825.208,0.81892,1.96956,0.699,1.05168,0,0.88835,0.80972,0.85503,0.65857,0.68645,0.62348,0.63518,0.32851,0.8828,3.35248,0.9167,1.20944,0,0.000990365,0.000990365,0.000990365
43,844.96,0.81275,1.92074,0.69398,1.06616,0,0.80254,0.77126,0.79878,0.64423,0.72194,0.55024,0.59019,0.32364,0.93894,3.33855,0.93256,1.27184,0,0.000973861,0.000973861,0.000973861
44,864.668,0.76789,1.89696,0.66131,1.04526,0,0.89855,0.76325,0.84988,0.65305,0.68604,0.60756,0.57528,0.31308,0.97671,3.56645,0.87546,1.31147,0,0.000957358,0.000957358,0.000957358
45,884.713,0.78441,1.9215,0.65366,1.04513,0,0.8913,0.78204,0.86708,0.66628,0.72069,0.59717,0.59444,0.32513,0.95902,3.1656,0.88972,1.3218,0,0.000940855,0.000940855,0.000940855
46,905.035,0.77595,1.85801,0.64256,1.04266,0,0.94562,0.72832,0.8299,0.65583,0.79918,0.5743,0.6067,0.29921,1.01742,3.02609,0.79873,1.36493,0,0.000924352,0.000924352,0.000924352
47,924.587,0.75483,1.80909,0.63756,1.03895,0,0.90676,0.74255,0.81607,0.63708,0.74839,0.62348,0.61617,0.3045,0.97126,3.39888,0.83097,1.35229,0,0.000907848,0.000907848,0.000907848
48,944.26,0.78302,1.8619,0.65246,1.04867,0,0.82992,0.82764,0.86748,0.69681,0.71809,0.63717,0.67287,0.33418,0.91539,3.78028,0.7958,1.24904,0,0.000891345,0.000891345,0.000891345
49,963.959,0.74369,1.81683,0.61402,1.02591,0,0.87689,0.79785,0.86483,0.68471,0.74304,0.61032,0.66537,0.36759,0.9525,3.6244,0.81578,1.29475,0,0.000874842,0.000874842,0.000874842
50,983.639,0.74035,1.81264,0.60544,1.03132,0,0.95443,0.76417,0.88177,0.70127,0.76993,0.60762,0.64639,0.36078,0.83473,3.45849,0.72699,1.1843,0,0.000858338,0.000858338,0.000858338
51,1003.29,0.75337,1.75821,0.61123,1.03581,0,0.96843,0.79369,0.85855,0.68224,0.77682,0.61032,0.59097,0.31961,0.84988,3.11773,0.73934,1.17501,0,0.000841835,0.000841835,0.000841835
52,1022.87,0.72169,1.77602,0.59634,1.0289,0,0.98058,0.81154,0.89063,0.69716,0.7771,0.60345,0.60584,0.33162,0.87936,3.24274,0.69571,1.18995,0,0.000825332,0.000825332,0.000825332
53,1042.58,0.7439,1.76576,0.58851,1.01239,0,0.93883,0.82396,0.8715,0.6755,0.83305,0.66076,0.66845,0.32417,0.90451,3.1796,0.68804,1.25315,0,0.000808828,0.000808828,0.000808828
54,1062.23,0.74612,1.79058,0.59809,1.01407,0,0.97051,0.73435,0.8519,0.63099,0.78918,0.56478,0.59731,0.31158,0.9568,3.40187,0.76759,1.34132,0,0.000792325,0.000792325,0.000792325
